# norm1   norm2  g21_pred   casA_pred   g21_diff   casA_diff   g21_chisq   casA_chisq
0.01 0.88 0.075221 0.003201 -0.861 -0.8974 225.0523 0.0196
0.01 0.89 0.069248 0.002952 -0.872 -0.9054 230.8611 0.0199
0.01 0.9 0.063275 0.002703 -0.883 -0.9134 236.744 0.0203
0.01 0.91 0.057302 0.002454 -0.8941 -0.9213 242.7009 0.0207
0.01 0.92 0.051329 0.002206 -0.9051 -0.9293 248.7319 0.021
0.01 0.93 0.045356 0.001957 -0.9162 -0.9373 254.8368 0.0214
0.01 0.94 0.039383 0.001708 -0.9272 -0.9453 261.0157 0.0217
0.01 0.95 0.033411 0.001459 -0.9382 -0.9532 267.2687 0.0221
0.01 0.96 0.027438 0.001211 -0.9493 -0.9612 273.5957 0.0225
0.01 0.97 0.021465 0.000962 -0.9603 -0.9692 279.9967 0.0229
0.01 0.98 0.015492 0.000713 -0.9714 -0.9771 286.4717 0.0232
0.01 0.99 0.009519 0.000464 -0.9824 -0.9851 293.0207 0.0236
0.02 0.0 0.600714 0.025085 0.1104 -0.196 3.6989 0.0009
0.02 0.01 0.594741 0.024836 0.0993 -0.204 2.996 0.001
0.02 0.02 0.588768 0.024588 0.0883 -0.2119 2.367 0.0011
0.02 0.03 0.582795 0.024339 0.0773 -0.2199 1.8121 0.0012
0.02 0.04 0.576822 0.02409 0.0662 -0.2279 1.3312 0.0013
0.02 0.05 0.57085 0.023841 0.0552 -0.2358 0.9243 0.0014
0.02 0.06 0.564877 0.023593 0.0441 -0.2438 0.5914 0.0014
0.02 0.07 0.558904 0.023344 0.0331 -0.2518 0.3325 0.0015
0.02 0.08 0.552931 0.023095 0.0221 -0.2598 0.1477 0.0016
0.02 0.09 0.546958 0.022847 0.011 -0.2677 0.0368 0.0017
0.02 0.1 0.540985 0.022598 -0.0 -0.2757 0.0 0.0018
0.02 0.11 0.535012 0.022349 -0.0111 -0.2837 0.0372 0.002
0.02 0.12 0.529039 0.0221 -0.0221 -0.2917 0.1484 0.0021
0.02 0.13 0.523067 0.021852 -0.0331 -0.2996 0.3336 0.0022
0.02 0.14 0.517094 0.021603 -0.0442 -0.3076 0.5929 0.0023
0.02 0.15 0.511121 0.021354 -0.0552 -0.3156 0.9261 0.0024
0.02 0.16 0.505148 0.021105 -0.0663 -0.3235 1.3334 0.0025
0.02 0.17 0.499175 0.020857 -0.0773 -0.3315 1.8147 0.0027
0.02 0.18 0.493202 0.020608 -0.0884 -0.3395 2.3699 0.0028
0.02 0.19 0.487229 0.020359 -0.0994 -0.3475 2.9993 0.0029
0.02 0.2 0.481256 0.02011 -0.1104 -0.3554 3.7026 0.0031
0.02 0.21 0.475284 0.019862 -0.1215 -0.3634 4.4799 0.0032
0.02 0.22 0.469311 0.019613 -0.1325 -0.3714 5.3313 0.0034
0.02 0.23 0.463338 0.019364 -0.1436 -0.3794 6.2567 0.0035
0.02 0.24 0.457365 0.019115 -0.1546 -0.3873 7.256 0.0036
0.02 0.25 0.451392 0.018867 -0.1656 -0.3953 8.3294 0.0038
