# Ang	-new/-old	+new/+old
# N	N	N
32.22	0.975077	0.975361
32.31	0.975029	0.975332
32.4	0.974981	0.975228
32.49	0.974933	0.975216
32.58	0.974885	0.975204
32.67	0.974838	0.975193
32.76	0.97468	0.975181
32.85	0.974632	0.975152
32.94	0.974584	0.975048
33.03	0.974537	0.975036
33.12	0.974489	0.975025
33.21	0.974348	0.975013
33.3	0.974284	0.975001
33.39	0.974236	0.97488
33.48	0.974188	0.974868
33.57	0.97414	0.974857
33.66	0.974092	0.974845
33.75	0.973952	0.974833
33.84	0.973904	0.974805
33.93	0.973839	0.9747
34.02	0.973792	0.974689
34.11	0.973744	0.974677
34.2	0.973696	0.974666
34.29	0.973556	0.974654
34.38	0.973508	0.974533
34.47	0.973443	0.974521
34.56	0.973396	0.974509
34.65	0.973348	0.974498
34.74	0.973208	0.974486
34.83	0.97316	0.974474
34.92	0.973112	0.974353
35.01	0.973065	0.974341
35.1	0.973	0.97433
35.19	0.972952	0.974318
35.28	0.972812	0.974306
35.37	0.972764	0.974202
35.46	0.972698	0.974144
35.55	0.972602	0.974059
35.64	0.972489	0.973973
35.73	0.972301	0.973888
35.82	0.972205	0.973803
35.91	0.972109	0.973625
  36	0.972013	0.973522
36.09	0.971918	0.973437
36.18	0.971805	0.973352
36.27	0.971617	0.973266
36.36	0.971521	0.973089
36.45	0.971426	0.972986
36.54	0.97133	0.972901
36.63	0.971235	0.972816
36.72	0.971139	0.972731
36.81	0.970934	0.972645
36.9	0.970838	0.972468
36.99	0.970743	0.972365
37.08	0.970648	0.97228
37.17	0.970552	0.972195
37.26	0.970364	0.97211
37.35	0.970252	0.971933
37.44	0.970157	0.971847
37.53	0.970061	0.971745
37.62	0.969966	0.97166
37.71	0.969871	0.971575
37.8	0.969683	0.97149
37.89	0.969588	0.971313
37.98	0.969475	0.971228
38.07	0.96938	0.971126
38.16	0.969285	0.971041
38.25	0.969097	0.970956
38.34	0.969002	0.970779
38.43	0.968907	0.970694
38.52	0.968795	0.970609
38.61	0.9687	0.970507
38.7	0.968605	0.970422
38.79	0.968418	0.970337
38.88	0.968322	0.97016
38.97	0.968227	0.970075
39.06	0.968115	0.969991
39.15	0.96802	0.969889
39.24	0.967925	0.969804
39.33	0.967738	0.969627
39.42	0.96768	0.96955
39.51	0.967641	0.969477
39.6	0.967601	0.969387
39.69	0.967544	0.969313
39.78	0.967413	0.96924
39.87	0.967373	0.969075
39.96	0.967334	0.969001
40.05	0.967294	0.968928
40.14	0.967254	0.968838
40.23	0.967198	0.968765
40.32	0.967066	0.968599
40.41	0.967027	0.968526
40.5	0.966987	0.968453
40.59	0.966948	0.96838
40.68	0.966908	0.96829
40.77	0.966777	0.968125
40.86	0.96672	0.968052
40.95	0.966681	0.967979
41.04	0.966641	0.967906
41.13	0.966602	0.967833
41.22	0.966562	0.967743
41.31	0.96643	0.967577
41.4	0.96634	0.967478
41.49	0.966258	0.967372
41.58	0.966175	0.967266
41.67	0.966093	0.96716
41.76	0.965919	0.966945
41.85	0.965837	0.966839
41.94	0.965755	0.966733
42.03	0.965656	0.966628
42.12	0.965573	0.966522
42.21	0.965491	0.966399
42.3	0.965317	0.966201
42.39	0.965235	0.966095
42.48	0.965153	0.96599
42.57	0.965054	0.965884
42.66	0.964972	0.965778
42.75	0.96489	0.965564
42.84	0.964716	0.965458
42.93	0.964634	0.965353
43.02	0.964552	0.965247
43.11	0.964453	0.965142
43.2	0.964371	0.965036
43.29	0.964197	0.964822
43.38	0.964115	0.964716
43.47	0.964034	0.964611
43.56	0.963952	0.964505
43.65	0.96387	0.9644
43.74	0.963771	0.964203
43.83	0.963597	0.96408
43.92	0.963515	0.963975
44.01	0.963434	0.96387
44.1	0.963352	0.963765
44.19	0.96327	0.963659
44.28	0.96308	0.963462
44.37	0.962998	0.96334
44.46	0.962916	0.963235
44.55	0.962834	0.96313
44.64	0.962753	0.963025
44.73	0.962671	0.962828
44.82	0.962498	0.962706
44.91	0.962399	0.962601
  45	0.962317	0.962496
45.09	0.962237	0.962394
45.18	0.96218	0.962352
45.27	0.962123	0.962217
45.36	0.961974	0.962157
45.45	0.9619	0.962115
45.54	0.961843	0.962072
45.63	0.961786	0.962029
45.72	0.961729	0.961895
45.81	0.96158	0.961852
45.9	0.961523	0.961793
45.99	0.961449	0.96175
